ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS31844,31844.TXT,0.54501,0.28904,0.37775,3

ROUGE-L+StopWordRemoval,FNS30874,30874.TXT,0.47156,0.35662,0.40611,5

ROUGE-1+StopWordRemoval,FNS30874,30874.TXT,0.48987,0.44241,0.46493,5

ROUGE-2+StopWordRemoval,FNS30874,30874.TXT,0.23867,0.23119,0.23487,5

ROUGE-SU4+StopWordRemoval,FNS30874,30874.TXT,0.32329,0.24274,0.27728,5

ROUGE-L+StopWordRemoval,FNS31040,31040.TXT,0.29241,0.26366,0.27729,3

ROUGE-1+StopWordRemoval,FNS31040,31040.TXT,0.38405,0.39891,0.39134,3

ROUGE-2+StopWordRemoval,FNS31040,31040.TXT,0.10880,0.08980,0.09839,3

ROUGE-SU4+StopWordRemoval,FNS31040,31040.TXT,0.21150,0.14511,0.17213,3

ROUGE-L+StopWordRemoval,FNS31042,31042.TXT,0.31245,0.33621,0.32389,3

ROUGE-1+StopWordRemoval,FNS31042,31042.TXT,0.35888,0.50815,0.42066,3

ROUGE-2+StopWordRemoval,FNS31042,31042.TXT,0.11672,0.13660,0.12588,3

ROUGE-SU4+StopWordRemoval,FNS31042,31042.TXT,0.21200,0.19653,0.20397,3

ROUGE-L+StopWordRemoval,FNS31165,31165.TXT,0.43853,0.51662,0.47438,3

ROUGE-1+StopWordRemoval,FNS31165,31165.TXT,0.51917,0.57744,0.54676,3

ROUGE-2+StopWordRemoval,FNS31165,31165.TXT,0.28816,0.32154,0.30394,3

ROUGE-SU4+StopWordRemoval,FNS31165,31165.TXT,0.37975,0.31957,0.34707,3

ROUGE-L+StopWordRemoval,FNS31846,31846.TXT,0.40434,0.28217,0.33238,3

ROUGE-1+StopWordRemoval,FNS31846,31846.TXT,0.48765,0.41041,0.44571,3

ROUGE-2+StopWordRemoval,FNS31846,31846.TXT,0.15667,0.09627,0.11926,3

ROUGE-SU4+StopWordRemoval,FNS31846,31846.TXT,0.27077,0.14495,0.18882,3

ROUGE-L+StopWordRemoval,FNS31604,31604.TXT,0.61675,0.37712,0.46805,3

ROUGE-1+StopWordRemoval,FNS31604,31604.TXT,0.69797,0.39784,0.50680,3

ROUGE-2+StopWordRemoval,FNS31604,31604.TXT,0.48279,0.18977,0.27245,3

ROUGE-SU4+StopWordRemoval,FNS31604,31604.TXT,0.55120,0.18747,0.27978,3

ROUGE-L+StopWordRemoval,FNS32936,32936.TXT,0.41712,0.45304,0.43434,4

ROUGE-1+StopWordRemoval,FNS32936,32936.TXT,0.47352,0.54369,0.50618,4

ROUGE-2+StopWordRemoval,FNS32936,32936.TXT,0.28412,0.30616,0.29473,4

ROUGE-SU4+StopWordRemoval,FNS32936,32936.TXT,0.35839,0.30036,0.32682,4

ROUGE-L+StopWordRemoval,FNS31969,31969.TXT,0.46965,0.46377,0.46669,3

ROUGE-1+StopWordRemoval,FNS31969,31969.TXT,0.56585,0.53001,0.54735,3

ROUGE-2+StopWordRemoval,FNS31969,31969.TXT,0.28279,0.34148,0.30937,3

ROUGE-SU4+StopWordRemoval,FNS31969,31969.TXT,0.37896,0.34312,0.36015,3

ROUGE-L+StopWordRemoval,FNS31608,31608.TXT,0.35636,0.27321,0.30930,4

ROUGE-1+StopWordRemoval,FNS31608,31608.TXT,0.44588,0.37225,0.40575,4

ROUGE-2+StopWordRemoval,FNS31608,31608.TXT,0.15636,0.10776,0.12759,4

ROUGE-SU4+StopWordRemoval,FNS31608,31608.TXT,0.25884,0.14377,0.18486,4

ROUGE-L+StopWordRemoval,FNS32939,32939.TXT,0.51283,0.27404,0.35720,3

ROUGE-1+StopWordRemoval,FNS32939,32939.TXT,0.53594,0.38923,0.45095,3

ROUGE-2+StopWordRemoval,FNS32939,32939.TXT,0.29220,0.14637,0.19504,3

ROUGE-SU4+StopWordRemoval,FNS32939,32939.TXT,0.41036,0.16100,0.23126,3

ROUGE-L+StopWordRemoval,FNS32025,32025.TXT,0.55200,0.42012,0.47711,4

ROUGE-1+StopWordRemoval,FNS32025,32025.TXT,0.60846,0.45786,0.52253,4

ROUGE-2+StopWordRemoval,FNS32025,32025.TXT,0.39250,0.26800,0.31852,4

ROUGE-SU4+StopWordRemoval,FNS32025,32025.TXT,0.46887,0.25819,0.33300,4

ROUGE-L+StopWordRemoval,FNS31970,31970.TXT,0.27361,0.25736,0.26524,3

ROUGE-1+StopWordRemoval,FNS31970,31970.TXT,0.31017,0.38076,0.34186,3

ROUGE-2+StopWordRemoval,FNS31970,31970.TXT,0.08080,0.07189,0.07608,3

ROUGE-SU4+StopWordRemoval,FNS31970,31970.TXT,0.17293,0.12845,0.14741,3

ROUGE-L+StopWordRemoval,FNS31058,31058.TXT,0.46199,0.39474,0.42572,4

ROUGE-1+StopWordRemoval,FNS31058,31058.TXT,0.45114,0.49906,0.47389,4

ROUGE-2+StopWordRemoval,FNS31058,31058.TXT,0.28964,0.18899,0.22874,4

ROUGE-SU4+StopWordRemoval,FNS31058,31058.TXT,0.36416,0.22683,0.27954,4

ROUGE-L+StopWordRemoval,FNS31850,31850.TXT,0.51868,0.41604,0.46172,4

ROUGE-1+StopWordRemoval,FNS31850,31850.TXT,0.59523,0.47347,0.52742,4

ROUGE-2+StopWordRemoval,FNS31850,31850.TXT,0.29623,0.24449,0.26788,4

ROUGE-SU4+StopWordRemoval,FNS31850,31850.TXT,0.41620,0.24398,0.30763,4

ROUGE-L+StopWordRemoval,FNS32389,32389.TXT,0.34238,0.30431,0.32222,3

ROUGE-1+StopWordRemoval,FNS32389,32389.TXT,0.44193,0.39797,0.41880,3

ROUGE-2+StopWordRemoval,FNS32389,32389.TXT,0.10758,0.08469,0.09477,3

ROUGE-SU4+StopWordRemoval,FNS32389,32389.TXT,0.23504,0.14154,0.17668,3

ROUGE-L+StopWordRemoval,FNS31059,31059.TXT,0.45041,0.38393,0.41452,4

ROUGE-1+StopWordRemoval,FNS31059,31059.TXT,0.56878,0.41601,0.48054,4

ROUGE-2+StopWordRemoval,FNS31059,31059.TXT,0.30870,0.22255,0.25864,4

ROUGE-SU4+StopWordRemoval,FNS31059,31059.TXT,0.39589,0.20386,0.26913,4

ROUGE-L+StopWordRemoval,FNS31851,31851.TXT,0.50135,0.28150,0.36056,4

ROUGE-1+StopWordRemoval,FNS31851,31851.TXT,0.57576,0.35279,0.43750,4

ROUGE-2+StopWordRemoval,FNS31851,31851.TXT,0.37681,0.10671,0.16632,4

ROUGE-SU4+StopWordRemoval,FNS31851,31851.TXT,0.44749,0.14308,0.21683,4

ROUGE-L+StopWordRemoval,FNS32148,32148.TXT,0.43007,0.53924,0.47851,3

ROUGE-1+StopWordRemoval,FNS32148,32148.TXT,0.46832,0.64454,0.54248,3

ROUGE-2+StopWordRemoval,FNS32148,32148.TXT,0.31584,0.29039,0.30258,3

ROUGE-SU4+StopWordRemoval,FNS32148,32148.TXT,0.37307,0.30952,0.33833,3

ROUGE-L+StopWordRemoval,FNS32149,32149.TXT,0.31915,0.35465,0.33597,4

ROUGE-1+StopWordRemoval,FNS32149,32149.TXT,0.33786,0.44540,0.38425,4

ROUGE-2+StopWordRemoval,FNS32149,32149.TXT,0.13069,0.15098,0.14010,4

ROUGE-SU4+StopWordRemoval,FNS32149,32149.TXT,0.19827,0.18783,0.19291,4

ROUGE-L+StopWordRemoval,FNS31610,31610.TXT,0.40938,0.55008,0.46942,3

ROUGE-1+StopWordRemoval,FNS31610,31610.TXT,0.42973,0.65792,0.51989,3

ROUGE-2+StopWordRemoval,FNS31610,31610.TXT,0.22582,0.36734,0.27970,3

ROUGE-SU4+StopWordRemoval,FNS31610,31610.TXT,0.29791,0.36306,0.32728,3

ROUGE-L+StopWordRemoval,FNS31854,31854.TXT,0.35151,0.33088,0.34088,3

ROUGE-1+StopWordRemoval,FNS31854,31854.TXT,0.42129,0.42794,0.42459,3

ROUGE-2+StopWordRemoval,FNS31854,31854.TXT,0.15698,0.15954,0.15825,3

ROUGE-SU4+StopWordRemoval,FNS31854,31854.TXT,0.25039,0.19517,0.21936,3

ROUGE-L+StopWordRemoval,FNS31855,31855.TXT,0.43342,0.36311,0.39516,3

ROUGE-1+StopWordRemoval,FNS31855,31855.TXT,0.50955,0.43317,0.46826,3

ROUGE-2+StopWordRemoval,FNS31855,31855.TXT,0.23272,0.21261,0.22221,3

ROUGE-SU4+StopWordRemoval,FNS31855,31855.TXT,0.30783,0.22753,0.26166,3

ROUGE-L+StopWordRemoval,FNS31290,31290.TXT,0.58980,0.48454,0.53201,3

ROUGE-1+StopWordRemoval,FNS31290,31290.TXT,0.69700,0.49826,0.58111,3

ROUGE-2+StopWordRemoval,FNS31290,31290.TXT,0.43920,0.29110,0.35013,3

ROUGE-SU4+StopWordRemoval,FNS31290,31290.TXT,0.53128,0.26408,0.35280,3

ROUGE-L+StopWordRemoval,FNS30887,30887.TXT,0.34259,0.35889,0.35055,5

ROUGE-1+StopWordRemoval,FNS30887,30887.TXT,0.37210,0.44908,0.40698,5

ROUGE-2+StopWordRemoval,FNS30887,30887.TXT,0.19271,0.20389,0.19814,5

ROUGE-SU4+StopWordRemoval,FNS30887,30887.TXT,0.26480,0.21410,0.23677,5

ROUGE-L+StopWordRemoval,FNS30886,30886.TXT,0.40613,0.41055,0.40833,4

ROUGE-1+StopWordRemoval,FNS30886,30886.TXT,0.46036,0.47727,0.46866,4

ROUGE-2+StopWordRemoval,FNS30886,30886.TXT,0.19890,0.27275,0.23004,4

ROUGE-SU4+StopWordRemoval,FNS30886,30886.TXT,0.29081,0.27864,0.28460,4

ROUGE-L+StopWordRemoval,FNS32380,32380.TXT,0.33979,0.46883,0.39402,3

ROUGE-1+StopWordRemoval,FNS32380,32380.TXT,0.36667,0.53165,0.43401,3

ROUGE-2+StopWordRemoval,FNS32380,32380.TXT,0.16860,0.32086,0.22105,3

ROUGE-SU4+StopWordRemoval,FNS32380,32380.TXT,0.23936,0.33637,0.27969,3

ROUGE-L+StopWordRemoval,FNS31050,31050.TXT,0.46898,0.54424,0.50381,3

ROUGE-1+StopWordRemoval,FNS31050,31050.TXT,0.52966,0.56965,0.54893,3

ROUGE-2+StopWordRemoval,FNS31050,31050.TXT,0.29458,0.27251,0.28312,3

ROUGE-SU4+StopWordRemoval,FNS31050,31050.TXT,0.38659,0.26229,0.31254,3

ROUGE-L+StopWordRemoval,FNS31292,31292.TXT,0.40994,0.44782,0.42805,3

ROUGE-1+StopWordRemoval,FNS31292,31292.TXT,0.51363,0.46173,0.48630,3

ROUGE-2+StopWordRemoval,FNS31292,31292.TXT,0.24985,0.18651,0.21358,3

ROUGE-SU4+StopWordRemoval,FNS31292,31292.TXT,0.33815,0.21027,0.25930,3

ROUGE-L+StopWordRemoval,FNS32140,32140.TXT,0.49495,0.50846,0.50162,3

ROUGE-1+StopWordRemoval,FNS32140,32140.TXT,0.55311,0.53162,0.54215,3

ROUGE-2+StopWordRemoval,FNS32140,32140.TXT,0.31051,0.33461,0.32211,3

ROUGE-SU4+StopWordRemoval,FNS32140,32140.TXT,0.40602,0.31175,0.35269,3

ROUGE-L+StopWordRemoval,FNS32141,32141.TXT,0.51852,0.32915,0.40268,4

ROUGE-1+StopWordRemoval,FNS32141,32141.TXT,0.58249,0.41692,0.48599,4

ROUGE-2+StopWordRemoval,FNS32141,32141.TXT,0.36186,0.22202,0.27520,4

ROUGE-SU4+StopWordRemoval,FNS32141,32141.TXT,0.45026,0.21884,0.29453,4

ROUGE-L+StopWordRemoval,FNS32020,32020.TXT,0.39872,0.52627,0.45370,3

ROUGE-1+StopWordRemoval,FNS32020,32020.TXT,0.38842,0.58652,0.46734,3

ROUGE-2+StopWordRemoval,FNS32020,32020.TXT,0.24507,0.34780,0.28753,3

ROUGE-SU4+StopWordRemoval,FNS32020,32020.TXT,0.29909,0.34795,0.32168,3

ROUGE-L+StopWordRemoval,FNS32021,32021.TXT,0.40050,0.41327,0.40678,4

ROUGE-1+StopWordRemoval,FNS32021,32021.TXT,0.41172,0.48788,0.44657,4

ROUGE-2+StopWordRemoval,FNS32021,32021.TXT,0.23915,0.28969,0.26201,4

ROUGE-SU4+StopWordRemoval,FNS32021,32021.TXT,0.31033,0.27672,0.29256,4

ROUGE-L+StopWordRemoval,FNS31053,31053.TXT,0.42326,0.55642,0.48079,3

ROUGE-1+StopWordRemoval,FNS31053,31053.TXT,0.46199,0.65354,0.54132,3

ROUGE-2+StopWordRemoval,FNS31053,31053.TXT,0.31970,0.37997,0.34724,3

ROUGE-SU4+StopWordRemoval,FNS31053,31053.TXT,0.36227,0.36989,0.36604,3

ROUGE-L+StopWordRemoval,FNS32384,32384.TXT,0.45156,0.61520,0.52083,3

ROUGE-1+StopWordRemoval,FNS32384,32384.TXT,0.45773,0.73017,0.56271,3

ROUGE-2+StopWordRemoval,FNS32384,32384.TXT,0.29896,0.41473,0.34745,3

ROUGE-SU4+StopWordRemoval,FNS32384,32384.TXT,0.35072,0.39710,0.37247,3

ROUGE-L+StopWordRemoval,FNS32143,32143.TXT,0.43876,0.51961,0.47578,3

ROUGE-1+StopWordRemoval,FNS32143,32143.TXT,0.42593,0.60421,0.49965,3

ROUGE-2+StopWordRemoval,FNS32143,32143.TXT,0.27708,0.35371,0.31074,3

ROUGE-SU4+StopWordRemoval,FNS32143,32143.TXT,0.34617,0.35989,0.35290,3

ROUGE-L+StopWordRemoval,FNS32144,32144.TXT,0.34426,0.48000,0.40095,3

ROUGE-1+StopWordRemoval,FNS32144,32144.TXT,0.29252,0.60086,0.39348,3

ROUGE-2+StopWordRemoval,FNS32144,32144.TXT,0.14032,0.34873,0.20012,3

ROUGE-SU4+StopWordRemoval,FNS32144,32144.TXT,0.19106,0.36918,0.25181,3

ROUGE-L+StopWordRemoval,FNS30888,30888.TXT,0.41850,0.48651,0.44995,3

ROUGE-1+StopWordRemoval,FNS30888,30888.TXT,0.39712,0.57823,0.47086,3

ROUGE-2+StopWordRemoval,FNS30888,30888.TXT,0.20367,0.34661,0.25657,3

ROUGE-SU4+StopWordRemoval,FNS30888,30888.TXT,0.28586,0.36121,0.31915,3

ROUGE-L+StopWordRemoval,FNS31857,31857.TXT,0.50281,0.38188,0.43408,4

ROUGE-1+StopWordRemoval,FNS31857,31857.TXT,0.54870,0.41465,0.47235,4

ROUGE-2+StopWordRemoval,FNS31857,31857.TXT,0.28678,0.23135,0.25610,4

ROUGE-SU4+StopWordRemoval,FNS31857,31857.TXT,0.38720,0.20923,0.27166,4

ROUGE-L+StopWordRemoval,FNS32825,32825.TXT,0.25790,0.32106,0.28604,3

ROUGE-1+StopWordRemoval,FNS32825,32825.TXT,0.34105,0.46579,0.39377,3

ROUGE-2+StopWordRemoval,FNS32825,32825.TXT,0.09879,0.09251,0.09555,3

ROUGE-SU4+StopWordRemoval,FNS32825,32825.TXT,0.19964,0.14961,0.17104,3

ROUGE-L+StopWordRemoval,FNS31979,31979.TXT,0.52581,0.42800,0.47189,3

ROUGE-1+StopWordRemoval,FNS31979,31979.TXT,0.61672,0.45964,0.52672,3

ROUGE-2+StopWordRemoval,FNS31979,31979.TXT,0.39108,0.32623,0.35573,3

ROUGE-SU4+StopWordRemoval,FNS31979,31979.TXT,0.45607,0.31411,0.37201,3

ROUGE-L+StopWordRemoval,FNS31617,31617.TXT,0.50547,0.42346,0.46084,4

ROUGE-1+StopWordRemoval,FNS31617,31617.TXT,0.61338,0.51345,0.55899,4

ROUGE-2+StopWordRemoval,FNS31617,31617.TXT,0.36185,0.28590,0.31942,4

ROUGE-SU4+StopWordRemoval,FNS31617,31617.TXT,0.44189,0.29096,0.35088,4

ROUGE-L+StopWordRemoval,FNS31618,31618.TXT,0.57598,0.52203,0.54768,3

ROUGE-1+StopWordRemoval,FNS31618,31618.TXT,0.51588,0.56606,0.53981,3

ROUGE-2+StopWordRemoval,FNS31618,31618.TXT,0.43278,0.33367,0.37682,3

ROUGE-SU4+StopWordRemoval,FNS31618,31618.TXT,0.44736,0.31012,0.36630,3

ROUGE-L+StopWordRemoval,FNS31023,31023.TXT,0.45024,0.52331,0.48403,3

ROUGE-1+StopWordRemoval,FNS31023,31023.TXT,0.43613,0.60431,0.50663,3

ROUGE-2+StopWordRemoval,FNS31023,31023.TXT,0.28284,0.40637,0.33354,3

ROUGE-SU4+StopWordRemoval,FNS31023,31023.TXT,0.33080,0.40186,0.36289,3

ROUGE-L+StopWordRemoval,FNS31265,31265.TXT,0.43165,0.37617,0.40200,4

ROUGE-1+StopWordRemoval,FNS31265,31265.TXT,0.54910,0.43840,0.48754,4

ROUGE-2+StopWordRemoval,FNS31265,31265.TXT,0.24858,0.23664,0.24246,4

ROUGE-SU4+StopWordRemoval,FNS31265,31265.TXT,0.36427,0.24789,0.29502,4

ROUGE-L+StopWordRemoval,FNS32113,32113.TXT,0.20377,0.33456,0.25328,4

ROUGE-1+StopWordRemoval,FNS32113,32113.TXT,0.29608,0.45969,0.36018,4

ROUGE-2+StopWordRemoval,FNS32113,32113.TXT,0.09226,0.12667,0.10676,4

ROUGE-SU4+StopWordRemoval,FNS32113,32113.TXT,0.15708,0.17559,0.16582,4

ROUGE-L+StopWordRemoval,FNS32597,32597.TXT,0.43376,0.15588,0.22934,4

ROUGE-1+StopWordRemoval,FNS32597,32597.TXT,0.54173,0.19623,0.28810,4

ROUGE-2+StopWordRemoval,FNS32597,32597.TXT,0.13819,0.03848,0.06020,4

ROUGE-SU4+StopWordRemoval,FNS32597,32597.TXT,0.30986,0.06641,0.10938,4

ROUGE-L+StopWordRemoval,FNS32355,32355.TXT,0.47128,0.51170,0.49066,3

ROUGE-1+StopWordRemoval,FNS32355,32355.TXT,0.50787,0.58136,0.54213,3

ROUGE-2+StopWordRemoval,FNS32355,32355.TXT,0.29832,0.36591,0.32867,3

ROUGE-SU4+StopWordRemoval,FNS32355,32355.TXT,0.35685,0.36986,0.36324,3

ROUGE-L+StopWordRemoval,FNS31146,31146.TXT,0.30920,0.39179,0.34563,3

ROUGE-1+StopWordRemoval,FNS31146,31146.TXT,0.44600,0.49232,0.46802,3

ROUGE-2+StopWordRemoval,FNS31146,31146.TXT,0.20666,0.16875,0.18579,3

ROUGE-SU4+StopWordRemoval,FNS31146,31146.TXT,0.27536,0.20737,0.23658,3

ROUGE-L+StopWordRemoval,FNS31026,31026.TXT,0.43607,0.48148,0.45765,3

ROUGE-1+StopWordRemoval,FNS31026,31026.TXT,0.47531,0.54247,0.50668,3

ROUGE-2+StopWordRemoval,FNS31026,31026.TXT,0.22666,0.32859,0.26827,3

ROUGE-SU4+StopWordRemoval,FNS31026,31026.TXT,0.32443,0.32214,0.32328,3

ROUGE-L+StopWordRemoval,FNS32236,32236.TXT,0.39323,0.44583,0.41788,3

ROUGE-1+StopWordRemoval,FNS32236,32236.TXT,0.47511,0.48744,0.48119,3

ROUGE-2+StopWordRemoval,FNS32236,32236.TXT,0.22728,0.34373,0.27363,3

ROUGE-SU4+StopWordRemoval,FNS32236,32236.TXT,0.29457,0.35415,0.32162,3

ROUGE-L+StopWordRemoval,FNS32599,32599.TXT,0.39086,0.39088,0.39087,5

ROUGE-1+StopWordRemoval,FNS32599,32599.TXT,0.51032,0.44008,0.47260,5

ROUGE-2+StopWordRemoval,FNS32599,32599.TXT,0.26859,0.21351,0.23791,5

ROUGE-SU4+StopWordRemoval,FNS32599,32599.TXT,0.34301,0.20566,0.25714,5

ROUGE-L+StopWordRemoval,FNS31940,31940.TXT,0.48661,0.37903,0.42614,4

ROUGE-1+StopWordRemoval,FNS31940,31940.TXT,0.43766,0.42911,0.43334,4

ROUGE-2+StopWordRemoval,FNS31940,31940.TXT,0.26559,0.26454,0.26507,4

ROUGE-SU4+StopWordRemoval,FNS31940,31940.TXT,0.32882,0.25151,0.28501,4

ROUGE-L+StopWordRemoval,FNS32116,32116.TXT,0.48756,0.45744,0.47202,3

ROUGE-1+StopWordRemoval,FNS32116,32116.TXT,0.51867,0.53333,0.52590,3

ROUGE-2+StopWordRemoval,FNS32116,32116.TXT,0.32870,0.33984,0.33418,3

ROUGE-SU4+StopWordRemoval,FNS32116,32116.TXT,0.38023,0.33436,0.35583,3

ROUGE-L+StopWordRemoval,FNS32359,32359.TXT,0.44731,0.33067,0.38025,3

ROUGE-1+StopWordRemoval,FNS32359,32359.TXT,0.50941,0.38138,0.43619,3

ROUGE-2+StopWordRemoval,FNS32359,32359.TXT,0.25383,0.15631,0.19348,3

ROUGE-SU4+StopWordRemoval,FNS32359,32359.TXT,0.34985,0.18061,0.23823,3

ROUGE-L+StopWordRemoval,FNS31942,31942.TXT,0.49261,0.39755,0.44001,3

ROUGE-1+StopWordRemoval,FNS31942,31942.TXT,0.59186,0.47458,0.52677,3

ROUGE-2+StopWordRemoval,FNS31942,31942.TXT,0.34306,0.25282,0.29111,3

ROUGE-SU4+StopWordRemoval,FNS31942,31942.TXT,0.41265,0.27956,0.33331,3

ROUGE-L+StopWordRemoval,FNS30854,30854.TXT,0.48408,0.40501,0.44103,4

ROUGE-1+StopWordRemoval,FNS30854,30854.TXT,0.51120,0.45668,0.48240,4

ROUGE-2+StopWordRemoval,FNS30854,30854.TXT,0.25641,0.26332,0.25982,4

ROUGE-SU4+StopWordRemoval,FNS30854,30854.TXT,0.35402,0.25497,0.29644,4

ROUGE-L+StopWordRemoval,FNS30852,30852.TXT,0.42789,0.48956,0.45665,3

ROUGE-1+StopWordRemoval,FNS30852,30852.TXT,0.43817,0.58256,0.50015,3

ROUGE-2+StopWordRemoval,FNS30852,30852.TXT,0.26005,0.35852,0.30145,3

ROUGE-SU4+StopWordRemoval,FNS30852,30852.TXT,0.31303,0.35178,0.33127,3

ROUGE-L+StopWordRemoval,FNS31260,31260.TXT,0.30677,0.28342,0.29463,3

ROUGE-1+StopWordRemoval,FNS31260,31260.TXT,0.48175,0.42477,0.45147,3

ROUGE-2+StopWordRemoval,FNS31260,31260.TXT,0.18784,0.14378,0.16289,3

ROUGE-SU4+StopWordRemoval,FNS31260,31260.TXT,0.28164,0.18726,0.22496,3

ROUGE-L+StopWordRemoval,FNS30850,30850.TXT,0.39737,0.37479,0.38575,3

ROUGE-1+StopWordRemoval,FNS30850,30850.TXT,0.47519,0.46721,0.47117,3

ROUGE-2+StopWordRemoval,FNS30850,30850.TXT,0.15512,0.12687,0.13958,3

ROUGE-SU4+StopWordRemoval,FNS30850,30850.TXT,0.27613,0.18086,0.21857,3

ROUGE-L+StopWordRemoval,FNS31383,31383.TXT,0.26311,0.32192,0.28956,4

ROUGE-1+StopWordRemoval,FNS31383,31383.TXT,0.36973,0.45092,0.40631,4

ROUGE-2+StopWordRemoval,FNS31383,31383.TXT,0.11521,0.12787,0.12121,4

ROUGE-SU4+StopWordRemoval,FNS31383,31383.TXT,0.22134,0.17474,0.19530,4

ROUGE-L+StopWordRemoval,FNS31022,31022.TXT,0.31270,0.52721,0.39256,3

ROUGE-1+StopWordRemoval,FNS31022,31022.TXT,0.30838,0.60502,0.40853,3

