ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS32025,32025.TXT,0.47898,0.20931,0.29131,4

ROUGE-L+StopWordRemoval,FNS31970,31970.TXT,0.30050,0.24315,0.26880,3

ROUGE-1+StopWordRemoval,FNS31970,31970.TXT,0.30138,0.36677,0.33087,3

ROUGE-2+StopWordRemoval,FNS31970,31970.TXT,0.07255,0.06288,0.06737,3

ROUGE-SU4+StopWordRemoval,FNS31970,31970.TXT,0.16326,0.11953,0.13801,3

ROUGE-L+StopWordRemoval,FNS31058,31058.TXT,0.48067,0.39375,0.43289,4

ROUGE-1+StopWordRemoval,FNS31058,31058.TXT,0.46859,0.47817,0.47333,4

ROUGE-2+StopWordRemoval,FNS31058,31058.TXT,0.32182,0.21585,0.25839,4

ROUGE-SU4+StopWordRemoval,FNS31058,31058.TXT,0.39079,0.23539,0.29381,4

ROUGE-L+StopWordRemoval,FNS31850,31850.TXT,0.51411,0.36480,0.42677,4

ROUGE-1+StopWordRemoval,FNS31850,31850.TXT,0.54873,0.44796,0.49325,4

ROUGE-2+StopWordRemoval,FNS31850,31850.TXT,0.25782,0.21099,0.23207,4

ROUGE-SU4+StopWordRemoval,FNS31850,31850.TXT,0.36717,0.21724,0.27298,4

ROUGE-L+StopWordRemoval,FNS32389,32389.TXT,0.42904,0.36567,0.39483,3

ROUGE-1+StopWordRemoval,FNS32389,32389.TXT,0.52449,0.45570,0.48768,3

ROUGE-2+StopWordRemoval,FNS32389,32389.TXT,0.22830,0.17905,0.20070,3

ROUGE-SU4+StopWordRemoval,FNS32389,32389.TXT,0.35106,0.20925,0.26221,3

ROUGE-L+StopWordRemoval,FNS31059,31059.TXT,0.47005,0.35203,0.40257,4

ROUGE-1+StopWordRemoval,FNS31059,31059.TXT,0.53564,0.41348,0.46670,4

ROUGE-2+StopWordRemoval,FNS31059,31059.TXT,0.25546,0.20657,0.22843,4

ROUGE-SU4+StopWordRemoval,FNS31059,31059.TXT,0.35671,0.19814,0.25476,4

ROUGE-L+StopWordRemoval,FNS31851,31851.TXT,0.46668,0.20620,0.28602,4

ROUGE-1+StopWordRemoval,FNS31851,31851.TXT,0.54192,0.33308,0.41257,4

ROUGE-2+StopWordRemoval,FNS31851,31851.TXT,0.32980,0.08573,0.13608,4

ROUGE-SU4+StopWordRemoval,FNS31851,31851.TXT,0.40628,0.12693,0.19343,4

ROUGE-L+StopWordRemoval,FNS32148,32148.TXT,0.35861,0.39349,0.37524,3

ROUGE-1+StopWordRemoval,FNS32148,32148.TXT,0.39367,0.55780,0.46158,3

ROUGE-2+StopWordRemoval,FNS32148,32148.TXT,0.17836,0.21123,0.19341,3

ROUGE-SU4+StopWordRemoval,FNS32148,32148.TXT,0.25469,0.24579,0.25016,3

ROUGE-L+StopWordRemoval,FNS32149,32149.TXT,0.29711,0.34052,0.31734,4

ROUGE-1+StopWordRemoval,FNS32149,32149.TXT,0.30486,0.41515,0.35156,4

ROUGE-2+StopWordRemoval,FNS32149,32149.TXT,0.10515,0.09990,0.10246,4

ROUGE-SU4+StopWordRemoval,FNS32149,32149.TXT,0.18003,0.15655,0.16747,4

ROUGE-L+StopWordRemoval,FNS31610,31610.TXT,0.45593,0.49856,0.47629,3

ROUGE-1+StopWordRemoval,FNS31610,31610.TXT,0.42945,0.61872,0.50700,3

ROUGE-2+StopWordRemoval,FNS31610,31610.TXT,0.23115,0.29163,0.25789,3

ROUGE-SU4+StopWordRemoval,FNS31610,31610.TXT,0.29891,0.30517,0.30201,3

ROUGE-L+StopWordRemoval,FNS31854,31854.TXT,0.41163,0.32665,0.36425,3

ROUGE-1+StopWordRemoval,FNS31854,31854.TXT,0.46826,0.47486,0.47154,3

ROUGE-2+StopWordRemoval,FNS31854,31854.TXT,0.18916,0.19467,0.19188,3

ROUGE-SU4+StopWordRemoval,FNS31854,31854.TXT,0.28563,0.22169,0.24963,3

ROUGE-L+StopWordRemoval,FNS31855,31855.TXT,0.28631,0.20235,0.23712,3

ROUGE-1+StopWordRemoval,FNS31855,31855.TXT,0.35358,0.34275,0.34808,3

ROUGE-2+StopWordRemoval,FNS31855,31855.TXT,0.10934,0.08979,0.09861,3

ROUGE-SU4+StopWordRemoval,FNS31855,31855.TXT,0.18634,0.13473,0.15639,3

ROUGE-L+StopWordRemoval,FNS31290,31290.TXT,0.52932,0.39202,0.45044,3

ROUGE-1+StopWordRemoval,FNS31290,31290.TXT,0.63217,0.43772,0.51727,3

ROUGE-2+StopWordRemoval,FNS31290,31290.TXT,0.37045,0.22431,0.27943,3

ROUGE-SU4+StopWordRemoval,FNS31290,31290.TXT,0.46847,0.22015,0.29954,3

ROUGE-L+StopWordRemoval,FNS30887,30887.TXT,0.29828,0.26427,0.28025,5

ROUGE-1+StopWordRemoval,FNS30887,30887.TXT,0.36981,0.40511,0.38666,5

ROUGE-2+StopWordRemoval,FNS30887,30887.TXT,0.12043,0.11484,0.11757,5

ROUGE-SU4+StopWordRemoval,FNS30887,30887.TXT,0.21979,0.15570,0.18227,5

ROUGE-L+StopWordRemoval,FNS30886,30886.TXT,0.37172,0.33036,0.34982,4

ROUGE-1+StopWordRemoval,FNS30886,30886.TXT,0.45527,0.43317,0.44394,4

ROUGE-2+StopWordRemoval,FNS30886,30886.TXT,0.15983,0.16751,0.16358,4

ROUGE-SU4+StopWordRemoval,FNS30886,30886.TXT,0.27178,0.20368,0.23285,4

ROUGE-L+StopWordRemoval,FNS32380,32380.TXT,0.40212,0.36364,0.38191,3

ROUGE-1+StopWordRemoval,FNS32380,32380.TXT,0.41195,0.49306,0.44887,3

ROUGE-2+StopWordRemoval,FNS32380,32380.TXT,0.26762,0.23358,0.24944,3

ROUGE-SU4+StopWordRemoval,FNS32380,32380.TXT,0.31505,0.26006,0.28493,3

ROUGE-L+StopWordRemoval,FNS31050,31050.TXT,0.35497,0.37113,0.36287,3

ROUGE-1+StopWordRemoval,FNS31050,31050.TXT,0.41125,0.46383,0.43596,3

ROUGE-2+StopWordRemoval,FNS31050,31050.TXT,0.17513,0.18105,0.17804,3

ROUGE-SU4+StopWordRemoval,FNS31050,31050.TXT,0.27726,0.20122,0.23320,3

ROUGE-L+StopWordRemoval,FNS31292,31292.TXT,0.45295,0.41172,0.43135,3

ROUGE-1+StopWordRemoval,FNS31292,31292.TXT,0.50329,0.53167,0.51709,3

ROUGE-2+StopWordRemoval,FNS31292,31292.TXT,0.25548,0.22246,0.23783,3

ROUGE-SU4+StopWordRemoval,FNS31292,31292.TXT,0.33888,0.24585,0.28496,3

ROUGE-L+StopWordRemoval,FNS32140,32140.TXT,0.51561,0.45447,0.48312,3

ROUGE-1+StopWordRemoval,FNS32140,32140.TXT,0.56593,0.52391,0.54411,3

ROUGE-2+StopWordRemoval,FNS32140,32140.TXT,0.31107,0.28411,0.29698,3

ROUGE-SU4+StopWordRemoval,FNS32140,32140.TXT,0.40869,0.28141,0.33331,3

ROUGE-L+StopWordRemoval,FNS32141,32141.TXT,0.46167,0.25000,0.32436,4

ROUGE-1+StopWordRemoval,FNS32141,32141.TXT,0.55326,0.35046,0.42911,4

ROUGE-2+StopWordRemoval,FNS32141,32141.TXT,0.25455,0.12882,0.17107,4

ROUGE-SU4+StopWordRemoval,FNS32141,32141.TXT,0.36651,0.14842,0.21128,4

ROUGE-L+StopWordRemoval,FNS32020,32020.TXT,0.33457,0.34526,0.33983,3

ROUGE-1+StopWordRemoval,FNS32020,32020.TXT,0.31658,0.48373,0.38270,3

ROUGE-2+StopWordRemoval,FNS32020,32020.TXT,0.14907,0.22702,0.17997,3

ROUGE-SU4+StopWordRemoval,FNS32020,32020.TXT,0.20983,0.25637,0.23078,3

ROUGE-L+StopWordRemoval,FNS32021,32021.TXT,0.42379,0.40529,0.41434,4

ROUGE-1+StopWordRemoval,FNS32021,32021.TXT,0.44003,0.48801,0.46278,4

ROUGE-2+StopWordRemoval,FNS32021,32021.TXT,0.27181,0.29285,0.28194,4

ROUGE-SU4+StopWordRemoval,FNS32021,32021.TXT,0.34094,0.28201,0.30869,4

ROUGE-L+StopWordRemoval,FNS31053,31053.TXT,0.29753,0.42074,0.34857,3

ROUGE-1+StopWordRemoval,FNS31053,31053.TXT,0.25546,0.52312,0.34329,3

ROUGE-2+StopWordRemoval,FNS31053,31053.TXT,0.10136,0.26321,0.14635,3

ROUGE-SU4+StopWordRemoval,FNS31053,31053.TXT,0.15841,0.28568,0.20381,3

ROUGE-L+StopWordRemoval,FNS32384,32384.TXT,0.39459,0.44082,0.41643,3

ROUGE-1+StopWordRemoval,FNS32384,32384.TXT,0.40584,0.63232,0.49438,3

ROUGE-2+StopWordRemoval,FNS32384,32384.TXT,0.22092,0.27503,0.24502,3

ROUGE-SU4+StopWordRemoval,FNS32384,32384.TXT,0.29071,0.30439,0.29739,3

ROUGE-L+StopWordRemoval,FNS32143,32143.TXT,0.38979,0.43508,0.41119,3

ROUGE-1+StopWordRemoval,FNS32143,32143.TXT,0.39027,0.55048,0.45674,3

ROUGE-2+StopWordRemoval,FNS32143,32143.TXT,0.21565,0.29214,0.24814,3

ROUGE-SU4+StopWordRemoval,FNS32143,32143.TXT,0.28432,0.30132,0.29257,3

ROUGE-L+StopWordRemoval,FNS32144,32144.TXT,0.30474,0.37211,0.33507,3

ROUGE-1+StopWordRemoval,FNS32144,32144.TXT,0.34152,0.55046,0.42152,3

ROUGE-2+StopWordRemoval,FNS32144,32144.TXT,0.16373,0.26814,0.20332,3

ROUGE-SU4+StopWordRemoval,FNS32144,32144.TXT,0.21422,0.30288,0.25095,3

ROUGE-L+StopWordRemoval,FNS30888,30888.TXT,0.33799,0.32746,0.33264,3

ROUGE-1+StopWordRemoval,FNS30888,30888.TXT,0.32305,0.45243,0.37695,3

ROUGE-2+StopWordRemoval,FNS30888,30888.TXT,0.10483,0.14529,0.12179,3

ROUGE-SU4+StopWordRemoval,FNS30888,30888.TXT,0.18292,0.19847,0.19038,3

ROUGE-L+StopWordRemoval,FNS31857,31857.TXT,0.35814,0.17829,0.23807,4

ROUGE-1+StopWordRemoval,FNS31857,31857.TXT,0.46948,0.28425,0.35411,4

ROUGE-2+StopWordRemoval,FNS31857,31857.TXT,0.15190,0.05781,0.08374,4

ROUGE-SU4+StopWordRemoval,FNS31857,31857.TXT,0.28053,0.09579,0.14282,4

ROUGE-L+StopWordRemoval,FNS32825,32825.TXT,0.32119,0.27823,0.29817,3

ROUGE-1+StopWordRemoval,FNS32825,32825.TXT,0.41673,0.41935,0.41804,3

ROUGE-2+StopWordRemoval,FNS32825,32825.TXT,0.14435,0.12292,0.13277,3

ROUGE-SU4+StopWordRemoval,FNS32825,32825.TXT,0.26749,0.15669,0.19762,3

ROUGE-L+StopWordRemoval,FNS31979,31979.TXT,0.37876,0.23853,0.29271,3

ROUGE-1+StopWordRemoval,FNS31979,31979.TXT,0.51457,0.34526,0.41325,3

ROUGE-2+StopWordRemoval,FNS31979,31979.TXT,0.18207,0.11802,0.14321,3

ROUGE-SU4+StopWordRemoval,FNS31979,31979.TXT,0.27431,0.15549,0.19847,3

ROUGE-L+StopWordRemoval,FNS31617,31617.TXT,0.44904,0.29278,0.35445,4

ROUGE-1+StopWordRemoval,FNS31617,31617.TXT,0.54977,0.39212,0.45775,4

ROUGE-2+StopWordRemoval,FNS31617,31617.TXT,0.27089,0.14556,0.18936,4

ROUGE-SU4+StopWordRemoval,FNS31617,31617.TXT,0.36149,0.17900,0.23943,4

ROUGE-L+StopWordRemoval,FNS31618,31618.TXT,0.38342,0.36508,0.37402,3

ROUGE-1+StopWordRemoval,FNS31618,31618.TXT,0.36357,0.49195,0.41813,3

ROUGE-2+StopWordRemoval,FNS31618,31618.TXT,0.10435,0.23901,0.14528,3

ROUGE-SU4+StopWordRemoval,FNS31618,31618.TXT,0.21832,0.25685,0.23602,3

ROUGE-L+StopWordRemoval,FNS31023,31023.TXT,0.31357,0.29090,0.30181,3

ROUGE-1+StopWordRemoval,FNS31023,31023.TXT,0.32173,0.45626,0.37737,3

ROUGE-2+StopWordRemoval,FNS31023,31023.TXT,0.13639,0.19337,0.15996,3

ROUGE-SU4+StopWordRemoval,FNS31023,31023.TXT,0.18617,0.22470,0.20363,3

ROUGE-L+StopWordRemoval,FNS31265,31265.TXT,0.40426,0.33099,0.36397,4

ROUGE-1+StopWordRemoval,FNS31265,31265.TXT,0.48014,0.41608,0.44582,4

ROUGE-2+StopWordRemoval,FNS31265,31265.TXT,0.20500,0.19074,0.19762,4

ROUGE-SU4+StopWordRemoval,FNS31265,31265.TXT,0.30762,0.21594,0.25375,4

ROUGE-L+StopWordRemoval,FNS32113,32113.TXT,0.38108,0.42174,0.40038,4

ROUGE-1+StopWordRemoval,FNS32113,32113.TXT,0.41070,0.52523,0.46096,4

ROUGE-2+StopWordRemoval,FNS32113,32113.TXT,0.16369,0.23505,0.19299,4

ROUGE-SU4+StopWordRemoval,FNS32113,32113.TXT,0.24915,0.25475,0.25192,4

ROUGE-L+StopWordRemoval,FNS32597,32597.TXT,0.44404,0.19380,0.26984,4

ROUGE-1+StopWordRemoval,FNS32597,32597.TXT,0.56819,0.19791,0.29356,4

ROUGE-2+StopWordRemoval,FNS32597,32597.TXT,0.22770,0.05750,0.09182,4

ROUGE-SU4+StopWordRemoval,FNS32597,32597.TXT,0.34147,0.07059,0.11699,4

ROUGE-L+StopWordRemoval,FNS32355,32355.TXT,0.51986,0.48273,0.50061,3

ROUGE-1+StopWordRemoval,FNS32355,32355.TXT,0.56205,0.56114,0.56159,3

ROUGE-2+StopWordRemoval,FNS32355,32355.TXT,0.36524,0.30718,0.33370,3

ROUGE-SU4+StopWordRemoval,FNS32355,32355.TXT,0.42269,0.32622,0.36824,3

ROUGE-L+StopWordRemoval,FNS31146,31146.TXT,0.37663,0.40937,0.39232,3

ROUGE-1+StopWordRemoval,FNS31146,31146.TXT,0.40073,0.54395,0.46148,3

ROUGE-2+StopWordRemoval,FNS31146,31146.TXT,0.19273,0.24095,0.21416,3

ROUGE-SU4+StopWordRemoval,FNS31146,31146.TXT,0.26502,0.26694,0.26598,3

ROUGE-L+StopWordRemoval,FNS31026,31026.TXT,0.37070,0.31866,0.34272,3

ROUGE-1+StopWordRemoval,FNS31026,31026.TXT,0.41084,0.42182,0.41626,3

ROUGE-2+StopWordRemoval,FNS31026,31026.TXT,0.13092,0.14402,0.13716,3

ROUGE-SU4+StopWordRemoval,FNS31026,31026.TXT,0.24060,0.18227,0.20741,3

ROUGE-L+StopWordRemoval,FNS32236,32236.TXT,0.37318,0.42191,0.39605,3

ROUGE-1+StopWordRemoval,FNS32236,32236.TXT,0.43627,0.47267,0.45374,3

ROUGE-2+StopWordRemoval,FNS32236,32236.TXT,0.20934,0.33840,0.25867,3

ROUGE-SU4+StopWordRemoval,FNS32236,32236.TXT,0.27283,0.34767,0.30573,3

ROUGE-L+StopWordRemoval,FNS32599,32599.TXT,0.39888,0.32715,0.35947,5

ROUGE-1+StopWordRemoval,FNS32599,32599.TXT,0.42946,0.43093,0.43019,5

ROUGE-2+StopWordRemoval,FNS32599,32599.TXT,0.18251,0.17492,0.17863,5

ROUGE-SU4+StopWordRemoval,FNS32599,32599.TXT,0.27733,0.18986,0.22541,5

ROUGE-L+StopWordRemoval,FNS31940,31940.TXT,0.32176,0.18327,0.23353,4

ROUGE-1+StopWordRemoval,FNS31940,31940.TXT,0.31928,0.29927,0.30895,4

ROUGE-2+StopWordRemoval,FNS31940,31940.TXT,0.06835,0.05556,0.06129,4

ROUGE-SU4+StopWordRemoval,FNS31940,31940.TXT,0.16228,0.10379,0.12661,4

ROUGE-L+StopWordRemoval,FNS32116,32116.TXT,0.26234,0.18169,0.21469,3

ROUGE-1+StopWordRemoval,FNS32116,32116.TXT,0.37161,0.35247,0.36179,3

ROUGE-2+StopWordRemoval,FNS32116,32116.TXT,0.09313,0.07140,0.08083,3

ROUGE-SU4+StopWordRemoval,FNS32116,32116.TXT,0.17931,0.12699,0.14868,3

ROUGE-L+StopWordRemoval,FNS32359,32359.TXT,0.34429,0.24828,0.28851,3

ROUGE-1+StopWordRemoval,FNS32359,32359.TXT,0.43160,0.36564,0.39589,3

ROUGE-2+StopWordRemoval,FNS32359,32359.TXT,0.10658,0.07313,0.08674,3

ROUGE-SU4+StopWordRemoval,FNS32359,32359.TXT,0.22621,0.13260,0.16719,3

ROUGE-L+StopWordRemoval,FNS31942,31942.TXT,0.48210,0.40942,0.44280,3

ROUGE-1+StopWordRemoval,FNS31942,31942.TXT,0.54158,0.50958,0.52509,3

ROUGE-2+StopWordRemoval,FNS31942,31942.TXT,0.29582,0.28696,0.29132,3

ROUGE-SU4+StopWordRemoval,FNS31942,31942.TXT,0.36035,0.31037,0.33350,3

ROUGE-L+StopWordRemoval,FNS30854,30854.TXT,0.36256,0.26439,0.30579,4

ROUGE-1+StopWordRemoval,FNS30854,30854.TXT,0.36931,0.38418,0.37660,4

ROUGE-2+StopWordRemoval,FNS30854,30854.TXT,0.16192,0.14498,0.15298,4

ROUGE-SU4+StopWordRemoval,FNS30854,30854.TXT,0.24295,0.17025,0.20021,4

ROUGE-L+StopWordRemoval,FNS30852,30852.TXT,0.35164,0.31852,0.33426,3

ROUGE-1+StopWordRemoval,FNS30852,30852.TXT,0.32255,0.45240,0.37660,3

ROUGE-2+StopWordRemoval,FNS30852,30852.TXT,0.13884,0.16296,0.14994,3

ROUGE-SU4+StopWordRemoval,FNS30852,30852.TXT,0.19789,0.20357,0.20069,3

ROUGE-L+StopWordRemoval,FNS31260,31260.TXT,0.30348,0.24242,0.26954,3

ROUGE-1+StopWordRemoval,FNS31260,31260.TXT,0.43934,0.41693,0.42784,3

ROUGE-2+StopWordRemoval,FNS31260,31260.TXT,0.12858,0.10399,0.11499,3

ROUGE-SU4+StopWordRemoval,FNS31260,31260.TXT,0.23810,0.16927,0.19787,3

ROUGE-L+StopWordRemoval,FNS30850,30850.TXT,0.46241,0.40884,0.43398,3

ROUGE-1+StopWordRemoval,FNS30850,30850.TXT,0.56282,0.54246,0.55245,3

ROUGE-2+StopWordRemoval,FNS30850,30850.TXT,0.26591,0.20867,0.23383,3

ROUGE-SU4+StopWordRemoval,FNS30850,30850.TXT,0.37485,0.23784,0.29102,3

ROUGE-L+StopWordRemoval,FNS31383,31383.TXT,0.36755,0.35877,0.36310,4

ROUGE-1+StopWordRemoval,FNS31383,31383.TXT,0.42039,0.46619,0.44211,4

ROUGE-2+StopWordRemoval,FNS31383,31383.TXT,0.20540,0.17524,0.18912,4

ROUGE-SU4+StopWordRemoval,FNS31383,31383.TXT,0.29208,0.19953,0.23709,4

ROUGE-L+StopWordRemoval,FNS31022,31022.TXT,0.20594,0.31282,0.24837,3

ROUGE-1+StopWordRemoval,FNS31022,31022.TXT,0.21666,0.51154,0.30440,3

